Task,Mode,Participant,Run time,Created at,Robot count
robot_positioning,default,bb1531897c95df154f11d780911e482d,19.05,2013-08-15 02:11:59 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,55.881,2013-08-15 02:13:31 UTC,4,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,12.641,2013-08-15 02:15:07 UTC,4,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,3.476,2013-08-15 02:15:44 UTC,1,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,12.849,2013-08-15 02:16:24 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,3.501,2013-08-15 02:16:37 UTC,1,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,16.509,2013-08-15 02:19:27 UTC,3,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,3.385,2013-08-15 02:19:46 UTC,1,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,9.924,2013-08-15 02:20:18 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,44.797,2013-08-15 02:22:17 UTC,4,""
maze_positioning,default,bb1531897c95df154f11d780911e482d,307.108,2013-08-15 02:33:02 UTC,392,""
varying_visualization,full-state,bb1531897c95df154f11d780911e482d,97.894,2013-08-15 02:35:53 UTC,100,""
varying_visualization,full-state,bb1531897c95df154f11d780911e482d,158.604,2013-08-15 02:39:39 UTC,100,""
maze_positioning,default,bb1531897c95df154f11d780911e482d,88.857,2013-08-15 02:42:42 UTC,39,""
maze_positioning,default,bb1531897c95df154f11d780911e482d,325.125,2013-08-15 02:48:27 UTC,136,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,26.817,2013-08-15 02:53:53 UTC,4,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,1.816,2013-08-15 02:54:11 UTC,1,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,2.905,2013-08-15 02:54:21 UTC,1,""
maze_positioning,default,bc13608e8ff98bb1bb25089e67736dad,217.98,2013-08-15 05:32:05 UTC,318,""
varying_visualization,mean,bc13608e8ff98bb1bb25089e67736dad,147.458,2013-08-15 05:38:21 UTC,100,""
robot_positioning,default,bc13608e8ff98bb1bb25089e67736dad,35.578,2013-08-15 05:42:34 UTC,2,""
maze_positioning,default,bc13608e8ff98bb1bb25089e67736dad,405.098,2013-08-15 05:53:07 UTC,53,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,58.3,2013-08-15 16:09:07 UTC,6,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,8.187,2013-08-15 16:09:29 UTC,4,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,6.635,2013-08-15 16:16:18 UTC,3,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,8.558,2013-08-15 16:17:04 UTC,2,""
robot_positioning,default,bb1531897c95df154f11d780911e482d,2.914,2013-08-15 16:17:28 UTC,1,""
robot_positioning,default,fb841932d30944abfd9c6a170013e4f5,4.561,2013-08-16 08:28:22 UTC,1,""
robot_positioning,default,2d619aeaa7630333b7eb80f1c88a2c18,8.925,2013-08-16 22:44:27 UTC,3,""
pyramid_building,3.6,2d619aeaa7630333b7eb80f1c88a2c18,166.329,2013-08-16 22:47:49 UTC,8,""
varying_visualization,convex-hull,2d619aeaa7630333b7eb80f1c88a2c18,566.724,2013-08-17 04:02:15 UTC,100,""
